Name,Price,Rating,Proccesor,Core,Thread,RAM(GB),Storage,Graphic_card,Display,Pixel,OS
HP Victus 15-fb0178AX Gaming Laptop,66240,62.0,5th Gen AMD Ryzen 5 5600H,Hexa Core,12,16,512GB,4GB NVIDIA GeForce RTX 3050,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP 14-ep0341TU Laptop,66240,50.0,13th Gen Intel Core i3 1315U,Hexa Core (2P + 4E),8,8 ,512GB,Intel UHD Graphics,14 inches, 1920 x 1080 pixels,Windows 11 OS
HP OmniBook 5 16-ba1123TU Laptop,66240,53.0,13th Gen Intel Core i5 1334U,10 Cores (2P + 8E),12,16,512GB,Intel Iris Xe Graphics,16 inches, 1920 x 1200 pixels,Windows 11 OS
HP 240R G9 ‎B15JNAT Laptop,66240,,12th Gen Intel Core i3 1315U,Hexa Core (2P + 4E),8,8 ,512GB,Intel Integrated Graphics,14 inches, 1366 x 720 pixels,Windows 11 OS
HP 240R G9 ‎‎B10MSAT Laptop,66240,50.0,12th Gen Intel Core i3 1315U,Hexa Core (2P + 4E),8,16,512GB,Intel Integrated Graphics,14 inches, 1366 x 720 pixels,Windows 11 OS
HP 240R G9 B10MRAT Laptop,66240,,12th Gen Intel Core i3 1315U,Hexa Core (2P + 4E),8,16,512GB,Intel Integrated Graphics,14 inches, 1366 x 720 pixels,DOS OS
HP 15-fd1253TU Laptop,66240,,Intel Core 3 100U,Hexa Core (2P + 4E),8,8 ,512GB,Intel Integrated,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP 15-fd1253TU Laptop,66240,,Intel Core 3 100U,Hexa Core (2P + 4E),8,8 ,512GB,Intel Integrated,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP 240 G10 ‎B10LVPT Business Laptop,66240,,13th Gen Intel Core i5 1335U,10 Cores (2P + 8E),12,8 ,512GB,Intel UHD Graphics,14 inches, 1366 x 768 pixels,DOS OS
HP Victus ‎15-fb0180AX Gaming Laptop,66240,63.0,5th Gen AMD Ryzen 5 5600H,Hexa Core,12,8 ,512GB,4GB NVIDIA GeForce RTX 3050,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP 250R G9 ‎B10M4AT Laptop,66240,54.0,13th Gen Intel Core i5 1335U,10 Cores (2P + 8E),12,16,512GB,Intel Integrated UHD Graphics,15.6 inches, 1366 x 768 pixels,DOS OS
HP ‎15-fd0468TULaptop,66240,59.0,13th Gen Intel Core i7 1355U,10 Cores (2P + 8E),12,16,512GB,‎Intel Iris Xe Graphics,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Laptop 250 G9 Laptop,66240,50.0,12th Gen Intel Core i7 1255U,10 Cores (2P + 8E),12,8 ,512GB,Intel Integrated,15.6 inches, 1920 x 1080 pixels,Windows OS
HP ZBook Firefly 16 G11 A1VX6PT Laptop,66240,72.0,Intel Core Ultra 7 Series 1 155H,16 Cores (6P + 8E + 2LP-E),22,16,1TB,4GB NVIDIA RTX A500,16 inches, 1920 x 1200 pixels,Windows 11 OS
HP ZBook Firefly 16 G11 A1VX4PT Laptop,66240,77.0,Intel Core Ultra 7 Series 1 155H,16 Cores (6P + 8E + 2LP-E),22,32,1TB,4GB NVIDIA RTX A500,16 inches, 1920 x 1200 pixels,Windows 11 OS
HP 240R G9 Laptop,66240,,12th Gen Intel Core i3 1315U,Hexa Core (2P + 4E),8,16,512GB,Intel Integrated Graphics,14 inches, 1366 x 720 pixels,Windows 11 OS
HP 250R G9 B10MTAT Laptop,66240,52.0,13th Gen Intel Core i3 1315U,Hexa Core (2P + 4E),8,8 ,512GB,Intel Integrated UHD Graphics,15.6 inches, 1366 x 768 pixels,DOS OS
HP ZBook Firefly 14 G10 8F6C8PA Workstation Laptop,66240,66.0,13th Gen Intel Core i7 1355U,10 Cores (2P + 8E),12,16,1TB,"14inches, 1920x1200pixels",Windows 11 OS,,
HP ZBook Firefly 14 G11 A92TXPT Laptop,66240,57.0,Intel Core Ultra 5 Processor 125U,12 Cores (2P + 8E + 2LP-E),14,16,512GB,Integrated Intel Graphics,14 inches, 1920 x 1200 pixels,Windows 11 OS
HP OmniBook Ultra Flip AI 2 in 1 Laptop,66240,73.0,Intel Core Ultra 9 288V,Octa Core (4P + 4LP-E),8,32,2TB,Intel Arc Graphics 140V,14 inches, 2880 x 1800 pixels,Windows 11 OS
